series,idx,value
day,0,0.0
day,1,803.456802
day,2,1073.456743
day,3,2501.75537
day,4,-333.466364
day,5,924.863835
day,6,6423.579516
day,7,3728.829893
day,8,5197.260979
day,9,10692.712522
day,10,11371.781181
day,11,12367.31548
day,12,8954.47828
day,13,1246.191515
week,0,0.0
week,1,9666.275999
week,2,11305.4181
week,3,-29630.79644
week,4,4648.250325
week,5,1132.488822
week,6,-91499.382931
week,7,-70603.497802
week,8,-47557.652979
week,9,-8039.893315
week,10,-5502.283833
week,11,3367.741978
week,12,-6757.847688
month,0,0.0
month,1,-58847.916891
month,2,-48614.901645
month,3,-54197.57053
month,4,-61899.328573
month,5,-80188.428618
month,6,-59025.21811
month,7,-80737.172832
month,8,-38675.356176
month,9,-94677.41838
month,10,-46738.427458
month,11,-46565.692686
allTime,0,0.0
allTime,1,117833.011652
allTime,2,58985.094761
allTime,3,69218.110007
allTime,4,63635.441122
allTime,5,55933.683079
allTime,6,37644.583034
allTime,7,70183.137195
allTime,8,82617.258387
allTime,9,20478.873039
allTime,10,72522.882821
allTime,11,71267.318966
