series,idx,value
day,0,0.0
day,1,0.029717
day,2,0.08386
day,3,-0.030748
day,4,0.069196
day,5,0.1874
day,6,-0.162337
day,7,-0.121898
day,8,-0.193295
day,9,-0.210757
day,10,-0.130491
day,11,-0.37216
day,12,-0.456752
week,0,0.0
week,1,0.025798
week,2,-0.469089
week,3,-0.4331
week,4,-0.786455
week,5,-0.671113
week,6,-0.801144
week,7,-0.565295
week,8,-1.274948
week,9,-1.437285
week,10,-1.7317
month,0,0.0
month,1,-1.868201
month,2,-0.88576
month,3,-0.384122
month,4,-3.374949
month,5,-4.982238
month,6,-3.780324
month,7,-4.249413
month,8,-4.566779
month,9,-4.581468
month,10,-5.055272
month,11,-5.512024
allTime,0,0.0
allTime,1,-26025.862886
allTime,2,-27870.86091
allTime,3,-27649.008868
allTime,4,-27121.097294
allTime,5,-26957.369471
allTime,6,-27283.904119
allTime,7,-27770.656866
allTime,8,-27822.214457
allTime,9,-27829.903803
allTime,10,-27908.567754
allTime,11,-27910.651274
