series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
day,12,0.0
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,0.0
week,5,0.0
week,6,0.0
week,7,0.0
week,8,0.0
week,9,0.0
week,10,0.0
month,0,0.0
month,1,-2174.76
month,2,-2226.99053
month,3,-2226.99053
month,4,-2226.99053
month,5,-2226.99053
month,6,-2226.99053
month,7,-2226.99053
month,8,-2226.99053
month,9,-2226.99053
month,10,-2226.99053
month,11,-2226.99053
allTime,0,0.0
allTime,1,-2174.76
allTime,2,-2226.99053
allTime,3,-2226.99053
allTime,4,-2226.99053
allTime,5,-2226.99053
allTime,6,-2226.99053
allTime,7,-2226.99053
allTime,8,-2226.99053
allTime,9,-2226.99053
allTime,10,-2226.99053
allTime,11,-2226.99053
