series,idx,value
day,0,0.0
day,1,1.134192
day,2,28.316756
day,3,42.27569
day,4,-12.20935
day,5,18.749591
day,6,32.870771
day,7,77.372708
day,8,97.403374
day,9,117.106353
day,10,117.106353
day,11,117.106353
day,12,117.106353
week,0,0.0
week,1,-263.119536
week,2,-374.505221
week,3,602.779326
week,4,506.327282
week,5,-103.251878
week,6,58.692878
week,7,418.639633
week,8,756.669855
week,9,775.419446
week,10,873.776208
week,11,873.776208
month,0,0.0
month,1,-642.552035
month,2,-79.987807
month,3,296.950432
month,4,679.253178
month,5,-515.560805
month,6,-247.661321
month,7,310.145296
month,8,310.831903
month,9,-55.621184
month,10,551.284224
month,11,626.114887
allTime,0,0.0
allTime,1,13911.158748
allTime,2,3476.160004
allTime,3,3476.160004
allTime,4,3476.160004
allTime,5,3476.160004
allTime,6,3476.160004
allTime,7,3276.531668
allTime,8,3676.768626
allTime,9,1501.725304
allTime,10,1066.152306
allTime,11,2207.827998
