series,idx,value
day,0,0.0
day,1,-47.974377
day,2,-41.945798
day,3,-22.754113
day,4,-5.275773
day,5,44.768203
day,6,62.511358
day,7,31.323553
day,8,71.815201
day,9,53.536919
day,10,114.451592
day,11,97.379956
day,12,69.30465
week,0,0.0
week,1,-127.772016
week,2,-113.051574
week,3,-153.122472
week,4,-16.381167
week,5,-108.307115
week,6,-197.990896
week,7,-116.03811
week,8,-36.849259
week,9,25.662099
week,10,32.455391
month,0,0.0
month,1,694.021603
month,2,872.452546
month,3,245.835706
month,4,522.363623
month,5,1146.91762
month,6,1250.392285
month,7,1066.710179
month,8,1174.723232
month,9,989.500959
month,10,1152.624569
month,11,1237.581595
allTime,0,0.0
allTime,1,-155.909325
allTime,2,-919.655583
allTime,3,-1084.168571
allTime,4,169.54027
allTime,5,-2015.855337
allTime,6,-2771.332543
allTime,7,3646.913593
allTime,8,6380.977496
allTime,9,4856.910804
allTime,10,5061.824037
allTime,11,6053.569926
