series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
day,12,0.0
week,0,0.0
week,1,0.0
week,2,0.478161
week,3,0.478161
week,4,-1.327795
week,5,-0.655018
week,6,-0.655018
week,7,-0.655018
week,8,-0.655018
week,9,-0.655018
week,10,-0.655018
week,11,-0.655018
month,0,0.0
month,1,361.716096
month,2,357.034278
month,3,367.307503
month,4,369.903026
month,5,379.670598
month,6,394.209489
month,7,394.68765
month,8,392.881694
month,9,393.554471
month,10,393.554471
month,11,393.554471
allTime,0,0.0
allTime,1,393.024054
allTime,2,479.943938
allTime,3,-3604.799097
allTime,4,-3468.763903
allTime,5,-3285.129529
allTime,6,-3042.632836
allTime,7,-798.291291
allTime,8,-807.463893
allTime,9,-768.829179
allTime,10,16.150397
allTime,11,15.495379
