series,idx,value
day,0,0.0
day,1,0.0
day,2,8.278821
day,3,-264.425474
day,4,-525.373673
day,5,-310.796952
day,6,-209.785184
day,7,-27.661794
day,8,220.706799
day,9,503.012549
day,10,854.060767
day,11,474.060767
day,12,667.311439
day,13,482.658571
week,0,0.0
week,1,0.0
week,2,8.278821
week,3,-525.373673
week,4,-209.785184
week,5,-27.661794
week,6,220.706799
week,7,854.060767
week,8,667.311439
week,9,482.658571
month,0,0.0
month,1,0.0
month,2,8.278821
month,3,-525.373673
month,4,-27.661794
month,5,503.012549
month,6,482.658571
allTime,0,0.0
allTime,1,0.0
allTime,2,8.278821
allTime,3,-264.425474
allTime,4,-525.373673
allTime,5,-310.796952
allTime,6,-209.785184
allTime,7,-27.661794
allTime,8,220.706799
allTime,9,503.012549
allTime,10,854.060767
allTime,11,474.060767
allTime,12,667.311439
allTime,13,482.658571
