series,idx,value
day,0,0.0
day,1,86.991363
day,2,59.642647
day,3,53.788627
day,4,2.055431
day,5,-25.693306
day,6,39.388325
day,7,32.089839
day,8,54.842246
day,9,148.069917
day,10,147.838403
day,11,145.487913
day,12,116.455594
week,0,0.0
week,1,-230.35017
week,2,915.995223
week,3,3984.323707
week,4,3381.98907
week,5,5515.418985
week,6,5220.610135
week,7,4950.261782
week,8,4934.148833
week,9,4939.786486
week,10,5110.967705
week,11,5081.935386
month,0,0.0
month,1,727.684068
month,2,1295.722662
month,3,521.322351
month,4,-599.349569
month,5,-551.320894
month,6,-1589.410564
month,7,-673.415341
month,8,1792.578506
month,9,3631.199571
month,10,3376.069228
month,11,3492.524822
allTime,0,0.0
allTime,1,-199.55791
allTime,2,-506.655206
allTime,3,-2442.807397
allTime,4,1071.708642
allTime,5,-2475.389596
allTime,6,-3857.141656
allTime,7,-3895.699355
allTime,8,-2376.578755
allTime,9,993.826301
allTime,10,1079.487722
