series,idx,value
day,0,0.0
day,1,-0.230609
day,2,-0.342163
day,3,0.125316
day,4,-0.247714
day,5,0.721593
day,6,0.052393
day,7,0.307278
day,8,1.06683
day,9,2.075184
day,10,4.959767
day,11,6.05732
day,12,5.99124
week,0,0.0
week,1,0.0
week,2,-0.571586
week,3,-11.449806
week,4,-10.525181
week,5,-6.489069
week,6,-5.943602
week,7,-7.314695
week,8,-11.521916
week,9,-10.790147
week,10,-5.45442
week,11,-5.5205
month,0,0.0
month,1,0.0
month,2,2.875155
month,3,-4.174002
month,4,-3.034248
month,5,-3.034248
month,6,-3.034248
month,7,-4.544665
month,8,-12.483533
month,9,-8.704026
month,10,-14.652076
month,11,-8.554748
allTime,0,0.0
allTime,1,-823.926777
allTime,2,-1027.91093
allTime,3,-1018.131878
allTime,4,-1083.099867
allTime,5,-1100.993185
allTime,6,-1184.303533
allTime,7,-1187.448554
allTime,8,-1191.622556
allTime,9,-1190.482802
allTime,10,-1196.003302
