series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
day,12,0.0
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,0.0
week,5,0.0
week,6,0.0
week,7,0.0
week,8,0.0
week,9,0.0
week,10,0.0
week,11,0.0
month,0,0.0
month,1,0.0
month,2,-162.383325
month,3,-260.622573
month,4,-179.844925
month,5,-179.844925
month,6,-179.844925
month,7,-179.844925
month,8,-179.844925
month,9,-179.844925
month,10,-179.844925
month,11,-179.844925
allTime,0,0.0
allTime,1,405.051374
allTime,2,957.451873
allTime,3,987.206847
allTime,4,1488.822524
allTime,5,2491.299849
allTime,6,2816.271532
allTime,7,1586.934288
allTime,8,3581.660441
allTime,9,2349.426415
allTime,10,2349.423808
allTime,11,2019.937648
