series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,1.810393
day,6,5.487615
day,7,5.487615
day,8,5.487615
day,9,5.487615
day,10,10.495934
day,11,5.120979
day,12,3.044418
week,0,0.0
week,1,-28.694642
week,2,-145.708562
week,3,-37.517092
week,4,-124.830039
week,5,-104.16956
week,6,-95.444532
week,7,-66.652884
week,8,-53.259252
week,9,-47.771637
week,10,-50.214834
month,0,0.0
month,1,-871.94496
month,2,-1047.202244
month,3,-913.369146
month,4,-818.165902
month,5,-597.103757
month,6,-788.704933
month,7,-856.454774
month,8,-903.747162
month,9,-873.936687
month,10,-849.995661
month,11,-831.346425
allTime,0,0.0
allTime,1,-2118.592206
allTime,2,-8013.703389
allTime,3,-8218.667299
allTime,4,-8958.906935
allTime,5,-8620.946273
allTime,6,-10999.330556
allTime,7,-10977.893902
allTime,8,-10848.757302
allTime,9,-10867.166493
allTime,10,-10854.11768
