series,idx,value
day,0,0.0
day,1,-453.336807
day,2,-10.92749
day,3,399.746067
day,4,604.50031
day,5,1087.834987
day,6,133.24533
day,7,-307.580335
day,8,-542.890881
day,9,-321.961403
day,10,-270.613487
day,11,-760.853549
day,12,-890.200569
week,0,0.0
week,1,-1403.056979
week,2,-26.31464
week,3,-1301.823716
week,4,-3164.541065
week,5,-1438.114441
week,6,-2786.588712
week,7,-7451.893106
week,8,-9927.19523
week,9,-8816.284415
week,10,-10664.972951
week,11,-10794.319971
month,0,0.0
month,1,6603.979069
month,2,10147.593164
month,3,8038.252334
month,4,5853.419339
month,5,4370.569876
month,6,-298.496382
month,7,-324.811022
month,8,-3463.037447
month,9,-3085.085094
month,10,-10202.615784
month,11,-11092.816353
allTime,0,0.0
allTime,1,5802.333557
allTime,2,5807.825996
allTime,3,15680.474849
allTime,4,157755.235513
allTime,5,73870.577257
allTime,6,55975.938395
allTime,7,193461.340668
allTime,8,277058.760943
allTime,9,272599.842897
allTime,10,190320.74072
allTime,11,175563.312851
allTime,12,170944.194226
