series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
day,12,0.0
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,0.0
week,5,0.0
week,6,0.0
week,7,-0.006032
week,8,-0.00889
week,9,-0.00889
week,10,-0.00889
week,11,-0.00889
month,0,0.0
month,1,-29.03952
month,2,-29.03952
month,3,-29.03952
month,4,-29.03952
month,5,-29.03952
month,6,-29.03952
month,7,-29.03952
month,8,-29.03952
month,9,-29.03952
month,10,-29.04841
month,11,-29.04841
allTime,0,0.0
allTime,1,6449.825207
allTime,2,9764.765532
allTime,3,-1758.273141
allTime,4,2610.971343
allTime,5,8494.616085
allTime,6,23780.728412
allTime,7,9672.686656
allTime,8,31706.712823
allTime,9,2490.69878
allTime,10,-9992.617538
allTime,11,-9992.626428
