series,idx,value
day,0,0.0
day,1,2037.549617
day,2,820.645796
day,3,-286.088698
day,4,-846.637379
day,5,341.5275
day,6,995.518984
day,7,686.802459
day,8,3973.997398
day,9,3129.745553
day,10,3082.652406
day,11,3889.995178
week,0,0.0
week,1,1405.680803
week,2,679.91601
week,3,3640.601931
week,4,453.280162
week,5,-17869.534805
week,6,-6928.786005
week,7,-6158.5747
week,8,6785.319468
week,9,7780.838452
week,10,10675.314646
month,0,0.0
month,1,13161.676643
month,2,14322.369972
month,3,-771.423207
month,4,1295.388937
month,5,-20237.524231
month,6,-6438.968729
month,7,-5759.052719
month,8,-5985.688567
month,9,-21289.79398
month,10,346.350739
month,11,4236.345917
allTime,0,0.0
allTime,1,9019.439615
allTime,2,7173.556083
allTime,3,-2268.825805
allTime,4,-3797.050822
allTime,5,-17799.996644
allTime,6,-11516.538129
allTime,7,-10123.160124
allTime,8,-11143.631671
allTime,9,-22046.867728
allTime,10,-2963.762871
allTime,11,31.007101
