series,idx,value
day,0,0.0
day,1,0.60991
day,2,-0.976974
day,3,-4.617693
day,4,-0.98506
day,5,-4.657355
day,6,5.87092
day,7,2.38076
day,8,19.91272
day,9,11.975546
day,10,10.441082
day,11,8.650605
day,12,8.428031
week,0,0.0
week,1,-13.423338
week,2,6.680836
week,3,3.349684
week,4,45.403485
week,5,39.836013
week,6,28.375443
week,7,23.646836
week,8,-17.314307
week,9,-27.537364
week,10,-14.229404
week,11,-14.451978
month,0,0.0
month,1,157.587288
month,2,282.212895
month,3,91.435489
month,4,64.154058
month,5,112.830259
month,6,-100.518871
month,7,-134.94346
month,8,-101.44113
month,9,-102.684912
month,10,-149.496506
month,11,-143.227678
allTime,0,0.0
allTime,1,-401.944954
allTime,2,-738.320915
allTime,3,-915.114184
allTime,4,196.292003
allTime,5,243.481626
allTime,6,37.836505
allTime,7,-2.37086
allTime,8,272.810496
allTime,9,887.848346
allTime,10,354.155443
allTime,11,700.730896
