series,idx,value
day,0,0.0
day,1,-444.533695
day,2,126.583418
day,3,-561.178537
day,4,-590.476841
day,5,-417.079912
day,6,237.026205
day,7,545.50248
day,8,1096.146051
day,9,1647.544499
day,10,1986.043086
day,11,2542.489496
week,0,0.0
week,1,4707.425891
week,2,4798.406301
week,3,4691.084756
week,4,3558.088283
week,5,72.297502
week,6,-616.101962
week,7,1569.712468
week,8,2970.451731
week,9,2855.768355
week,10,5815.337763
month,0,0.0
month,1,-1802.836366
month,2,-5207.796344
month,3,-7759.013058
month,4,-5257.681127
month,5,-8863.322108
month,6,-5252.05711
month,7,-453.650809
month,8,-1778.809322
month,9,-4652.110166
month,10,-1809.316885
month,11,563.280653
allTime,0,0.0
allTime,1,1181.006472
allTime,2,-4004.318526
allTime,3,2561.053595
allTime,4,13624.620942
allTime,5,6074.030351
allTime,6,19385.193699
allTime,7,33508.594026
allTime,8,24791.053513
allTime,9,18192.753673
allTime,10,24355.510683
allTime,11,26728.108221
