series,idx,value
day,0,0.0
day,1,1.160212
day,2,6.245454
day,3,10.339802
day,4,11.027571
day,5,6.328346
day,6,0.035897
day,7,-1.375308
day,8,-11.543757
day,9,-5.172449
day,10,-5.109857
day,11,-8.060644
day,12,-10.073221
week,0,0.0
week,1,-8.725652
week,2,-9.957783
week,3,36.167268
week,4,91.460643
week,5,121.497665
week,6,115.285349
week,7,96.89026
week,8,42.756152
week,9,46.878377
week,10,31.366126
week,11,26.465354
month,0,0.0
month,1,167.431113
month,2,216.632523
month,3,247.849079
month,4,221.412339
month,5,325.898166
month,6,335.287456
month,7,305.988699
month,8,404.043853
month,9,439.082407
month,10,351.020224
month,11,340.947003
allTime,0,0.0
allTime,1,2201.214255
allTime,2,2965.019625
allTime,3,70.417825
allTime,4,-189.032371
allTime,5,-716.506344
allTime,6,-771.321946
allTime,7,-678.868434
allTime,8,-557.903858
allTime,9,2.104107
allTime,10,255.156418
allTime,11,154.919785
