series,idx,value
day,0,0.0
day,1,0.273309
day,2,0.046004
day,3,-0.134028
day,4,-0.411565
day,5,-0.301536
day,6,-0.116234
day,7,-0.077983
day,8,-0.058329
day,9,-0.081993
day,10,-0.491852
day,11,-0.784313
week,0,0.0
week,1,89.925968
week,2,89.393046
week,3,91.870751
week,4,90.790725
week,5,91.981352
week,6,91.761392
week,7,90.716267
week,8,89.1052
week,9,89.661478
week,10,89.178701
month,0,0.0
month,1,41.309355
month,2,-16.369908
month,3,10.721278
month,4,-68.280544
month,5,-416.974934
month,6,-30.889879
month,7,70.071967
month,8,69.931848
month,9,71.357535
month,10,68.475225
month,11,68.671267
allTime,0,0.0
allTime,1,10572.182011
allTime,2,18980.36665
allTime,3,-4228.206101
allTime,4,18131.268909
allTime,5,4147.49747
allTime,6,9654.583819
allTime,7,16574.800208
allTime,8,2079.512252
allTime,9,1572.557822
allTime,10,1240.697743
allTime,11,1377.649554
