series,idx,value
day,0,0.0
day,1,0.597449
day,2,0.223574
day,3,-1.412744
day,4,-1.956945
day,5,-1.897557
day,6,-1.359251
day,7,0.060855
day,8,-0.803224
day,9,-0.8691
day,10,-4.400427
day,11,-3.448975
week,0,0.0
week,1,0.826653
week,2,-3.088357
week,3,7.496912
week,4,6.516092
week,5,17.42606
week,6,20.260569
week,7,16.011343
week,8,4.821398
week,9,2.93103
week,10,1.379612
month,0,0.0
month,1,12.358222
month,2,-9.322493
month,3,-0.616043
month,4,-6.140605
month,5,-23.918504
month,6,-21.755698
month,7,-13.344112
month,8,-7.661267
month,9,8.018021
month,10,-8.358798
month,11,-12.26995
allTime,0,0.0
allTime,1,119.456561
allTime,2,126.891305
allTime,3,68.417993
allTime,4,165.34172
allTime,5,165.34172
allTime,6,165.3498
allTime,7,165.3498
allTime,8,141.521128
allTime,9,141.394844
allTime,10,128.915399
allTime,11,80.731792
allTime,12,84.347078
