series,idx,value
day,0,0.0
day,1,1.154226
day,2,-0.130591
day,3,-0.07798
day,4,-1.796175
day,5,-2.773269
day,6,-2.581696
day,7,-3.47235
day,8,-7.866093
day,9,-8.215627
day,10,-8.792662
day,11,-10.448046
day,12,-10.240135
week,0,0.0
week,1,-11.474203
week,2,-35.998793
week,3,-31.991611
week,4,-32.834495
week,5,-6.184182
week,6,-15.748059
week,7,-21.853854
week,8,-40.007456
week,9,-44.634032
week,10,-51.401817
month,0,0.0
month,1,0.0
month,2,-43.475855
month,3,-43.475855
month,4,-43.475855
month,5,-102.862398
month,6,-144.086104
month,7,-183.676406
month,8,-179.02702
month,9,-150.270286
month,10,-162.601363
month,11,-188.021055
month,12,-195.487921
allTime,0,0.0
allTime,1,-2341.619577
allTime,2,-2805.836093
allTime,3,-2945.992178
allTime,4,1832.992444
allTime,5,-602.844593
allTime,6,695.11574
allTime,7,-686.451858
allTime,8,-1393.19633
allTime,9,-1481.001463
allTime,10,-1619.549522
allTime,11,-1651.14415
