series,idx,value
day,0,0.0
day,1,6.978258
day,2,-0.444287
day,3,0.833255
day,4,2.10469
day,5,-3.823699
day,6,-0.087322
day,7,3.659911
day,8,-17.658211
day,9,-3.02791
day,10,18.469701
day,11,72.863473
week,0,0.0
week,1,-52.090053
week,2,-68.396743
week,3,208.29724
week,4,27.412767
week,5,241.670358
week,6,-171.288302
week,7,-26.346667
week,8,-141.998962
week,9,-178.218635
week,10,-101.531463
month,0,0.0
month,1,15.156234
month,2,-530.374852
month,3,-365.460932
month,4,-495.935393
month,5,-792.764759
month,6,-1067.791208
month,7,-1167.845115
month,8,-1132.228176
month,9,-1438.094782
month,10,-1373.968672
month,11,-1332.892297
allTime,0,0.0
allTime,1,-1509.773585
allTime,2,-4202.696682
allTime,3,-5833.666745
allTime,4,-8825.863364
allTime,5,-10937.361554
allTime,6,-14246.101526
allTime,7,-15964.791822
allTime,8,-19523.60921
allTime,9,-19187.76317
allTime,10,-20270.710612
allTime,11,-20535.811701
