series,idx,value
day,0,0.0
day,1,-5.064876
day,2,0.328587
day,3,5.193753
day,4,-10.641537
day,5,4.591119
day,6,7.792381
day,7,-8.192659
day,8,2.550863
day,9,36.606581
day,10,24.866174
day,11,45.404703
day,12,41.668979
week,0,0.0
week,1,-3.900287
week,2,28.434817
week,3,-33.242057
week,4,-63.672818
week,5,-112.373448
week,6,-94.672021
week,7,-112.346196
week,8,31.40306
week,9,12.516602
week,10,53.330186
week,11,49.594462
month,0,0.0
month,1,132.176349
month,2,170.865078
month,3,30.109119
month,4,155.910812
month,5,345.342662
month,6,288.458105
month,7,181.931084
month,8,136.669568
month,9,91.180544
month,10,225.30157
month,11,243.492972
allTime,0,0.0
allTime,1,292.036342
allTime,2,151.404784
allTime,3,-682.357579
allTime,4,-465.487666
allTime,5,484.017071
allTime,6,2371.178521
allTime,7,2017.377778
allTime,8,-603.344587
allTime,9,-855.212694
allTime,10,284.466105
allTime,11,528.647236
