series,idx,value
day,0,0.0
day,1,-8.928174
day,2,-101.743356
day,3,-163.089101
day,4,-271.625333
day,5,-234.321475
day,6,-109.999433
day,7,-114.064071
day,8,-300.281026
day,9,-430.687827
day,10,-556.002898
day,11,-614.553583
week,0,0.0
week,1,491.045129
week,2,186.246698
week,3,597.742519
week,4,502.119156
week,5,1444.777459
week,6,1257.939992
week,7,974.38191
week,8,-129.903769
week,9,-464.809218
week,10,-845.041326
month,0,0.0
month,1,-2353.488842
month,2,-3623.309343
month,3,-2344.060587
month,4,-2572.450429
month,5,-3441.068448
month,6,-3481.497685
month,7,-2657.446093
month,8,-2677.351563
month,9,-1751.261585
month,10,-3317.712644
month,11,-3783.109933
allTime,0,0.0
allTime,1,-385.193004
allTime,2,-759.197372
allTime,3,296.340848
allTime,4,283.795346
allTime,5,813.677453
allTime,6,-17425.369863
allTime,7,-42760.147938
allTime,8,-45845.130064
allTime,9,-74072.893617
allTime,10,-73596.654536
allTime,11,-74923.129595
