series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,0.0
week,5,0.0
week,6,0.0
week,7,0.0
week,8,0.0
week,9,0.0
week,10,0.0
month,0,0.0
month,1,21.395687
month,2,-20.176298
month,3,-21.594336
month,4,-21.594336
month,5,-21.594336
month,6,-21.594336
month,7,-21.594336
month,8,-21.594336
month,9,-21.594336
month,10,-21.594336
month,11,-21.594336
allTime,0,0.0
allTime,1,-790.036655
allTime,2,-1021.830244
allTime,3,-1038.377796
allTime,4,-1043.42458
allTime,5,-1043.42458
allTime,6,-1043.42458
allTime,7,-1043.42458
allTime,8,-1043.42458
allTime,9,-1043.42458
allTime,10,-1043.42458
