series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
day,12,0.0
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,0.0
week,5,0.0
week,6,0.0
week,7,0.0
week,8,0.0
week,9,0.0
week,10,0.0
week,11,0.0
month,0,0.0
month,1,99.27166
month,2,31.190311
month,3,122.664563
month,4,94.938346
month,5,-2.695483
month,6,-2.695483
month,7,-2.695483
month,8,-2.695483
month,9,-2.695483
month,10,-2.695483
month,11,-2.695483
allTime,0,0.0
allTime,1,1782.056534
allTime,2,32.345062
allTime,3,32.345062
allTime,4,32.345062
allTime,5,113.750533
allTime,6,164.10019
allTime,7,66.992574
allTime,8,29.649579
allTime,9,29.649579
allTime,10,29.649579
