series,idx,value
day,0,0.0
day,1,55.000655
day,2,227.105074
day,3,246.224733
day,4,277.532273
day,5,134.914425
day,6,471.643842
day,7,516.268576
day,8,880.621547
day,9,811.997196
day,10,1131.016831
day,11,1039.94094
week,0,0.0
week,1,586.177389
week,2,1293.684233
week,3,802.171394
week,4,733.6176
week,5,77.937313
week,6,85.740989
week,7,340.428799
week,8,295.644304
week,9,628.287836
week,10,1481.772394
week,11,1390.696503
month,0,0.0
month,1,5473.071274
month,2,4816.960463
month,3,5950.832208
month,4,6005.101679
month,5,6340.316091
month,6,6391.235013
month,7,7445.852924
month,8,7257.390988
month,9,6632.669548
month,10,7023.103644
month,11,7922.08297
allTime,0,0.0
allTime,1,-2791.869647
allTime,2,2681.201627
allTime,3,2025.090816
allTime,4,3158.962561
allTime,5,3213.232032
allTime,6,3548.446444
allTime,7,3739.51682
allTime,8,4622.483684
allTime,9,3849.426262
allTime,10,4145.273038
allTime,11,5130.213323
