series,idx,value
day,0,0.0
day,1,5382.961318
day,2,4174.592192
day,3,2404.780126
day,4,4420.681839
day,5,3649.938544
day,6,1314.033925
day,7,3260.828141
day,8,2057.407276
day,9,1917.204922
day,10,-642.081042
day,11,-1092.035862
day,12,-237.618148
week,0,0.0
week,1,17954.507352
week,2,12238.765624
week,3,3870.595355
week,4,-6058.006246
week,5,-8126.006505
week,6,-12177.226258
week,7,-17110.038798
week,8,-12002.224806
week,9,-7780.472325
week,10,-6466.4384
week,11,-8018.090473
month,0,0.0
month,1,1133.539919
month,2,14620.828987
month,3,7042.514891
month,4,25320.60535
month,5,28982.583383
month,6,31417.912996
month,7,55894.036284
month,8,47919.278636
month,9,34940.629979
month,10,25591.246138
month,11,39341.49445
month,12,34683.194463
allTime,0,0.0
allTime,1,28695.339084
allTime,2,233819.304782
allTime,3,771277.470253
allTime,4,1260709.144212
allTime,5,504994.482705
allTime,6,65192.73153
allTime,7,227539.983738
allTime,8,271213.433765
allTime,9,415756.950925
allTime,10,531695.400752
