series,idx,value
day,0,0.0
day,1,118.110892
day,2,-249.937945
day,3,32.14633
day,4,106.576236
day,5,-115.83718
day,6,117.322633
day,7,-518.119123
day,8,-460.420435
day,9,-98.677399
day,10,625.456756
day,11,447.261758
day,12,334.366368
day,13,66.282672
week,0,0.0
week,1,-1086.472291
week,2,919.243274
week,3,-882.251949
week,4,-2210.20074
week,5,-1048.819306
week,6,-1302.386562
week,7,-3096.701953
week,8,-1176.24406
week,9,1182.137288
week,10,1299.459921
week,11,1248.41996
month,0,0.0
month,1,-9837.035643
month,2,-8403.034315
month,3,-8087.558068
month,4,-12019.360643
month,5,-14663.49648
month,6,-10121.533382
month,7,-12067.386928
month,8,-12007.093512
month,9,-11451.945618
month,10,-14679.47158
month,11,-10368.486009
month,12,-10334.349667
allTime,0,0.0
allTime,1,2160.093698
allTime,2,13578.822148
allTime,3,32490.138794
allTime,4,98153.742524
allTime,5,77421.105462
allTime,6,59560.791489
allTime,7,53946.1435
allTime,8,56550.947628
allTime,9,56750.885277
allTime,10,56651.384094
allTime,11,56833.503946
