series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,0.0
week,5,0.0
week,6,0.0
week,7,0.0
week,8,0.0
week,9,0.0
week,10,0.0
month,0,0.0
month,1,-3.726307
month,2,-3.726307
month,3,-3.726307
month,4,-3.726307
month,5,-3.726307
month,6,-3.726307
month,7,-3.726307
month,8,-3.726307
month,9,-3.726307
month,10,-3.726307
month,11,-3.726307
allTime,0,0.0
allTime,1,-242.001885
allTime,2,-269.508804
allTime,3,115.54698
allTime,4,95.075221
allTime,5,76.543125
allTime,6,34.958131
allTime,7,110.29634
allTime,8,110.301119
allTime,9,47.441089
allTime,10,0.746136
allTime,11,-2.980171
