series,idx,value
day,0,0.0
day,1,-75.208004
day,2,-81.663216
day,3,-397.208486
day,4,-150.70312
day,5,-49.114862
day,6,-188.014217
day,7,-221.432933
day,8,-389.407201
day,9,-603.719829
day,10,-595.67854
day,11,-614.824945
week,0,0.0
week,1,-1793.899172
week,2,-1672.390775
week,3,2056.893374
week,4,2104.98388
week,5,4553.914497
week,6,4110.963706
week,7,3291.093879
week,8,1822.044483
week,9,1713.156845
week,10,1147.446762
month,0,0.0
month,1,28717.533806
month,2,27916.674673
month,3,26055.890392
month,4,26635.112073
month,5,29173.751046
month,6,25858.387735
month,7,24493.084426
month,8,28150.719493
month,9,30103.714731
month,10,27680.432218
month,11,27005.834497
allTime,0,0.0
allTime,1,5872.66142
allTime,2,8024.136254
allTime,3,863.811418
allTime,4,13576.878795
allTime,5,13544.226595
allTime,6,22494.744665
allTime,7,25021.115831
allTime,8,26190.480662
allTime,9,24668.663786
allTime,10,20090.939413
allTime,11,28760.814832
allTime,12,25801.056449
