series,idx,value
day,0,0.0
day,1,-162.874853
day,2,781.23183
day,3,1184.073142
day,4,331.412529
day,5,105.961762
day,6,2885.369276
day,7,3362.110333
day,8,4185.990741
day,9,5094.654854
day,10,6933.036593
day,11,6890.317558
day,12,7353.449734
week,0,0.0
week,1,-2541.110805
week,2,-1533.649956
week,3,13666.358957
week,4,30688.459866
week,5,19838.518318
week,6,23006.495561
week,7,36248.086608
week,8,58052.097954
week,9,57554.005168
week,10,64155.629232
week,11,64576.042373
month,0,0.0
month,1,6652.295348
month,2,25993.531779
month,3,13610.597848
month,4,24217.687615
month,5,15067.364382
month,6,8094.221021
month,7,5358.186737
month,8,37191.16372
month,9,35189.345958
month,10,63146.846711
month,11,70378.116123
allTime,0,0.0
allTime,1,-35102.413714
allTime,2,376.922524
allTime,3,-26500.414827
allTime,4,6554.079794
allTime,5,-9044.492365
allTime,6,-3436.449891
allTime,7,-34774.360513
allTime,8,-28282.743736
allTime,9,-10717.351469
allTime,10,1240.60966
allTime,11,35443.077039
