series,idx,value
day,0,0.0
day,1,2108.952052
day,2,-243.780081
day,3,-171.658431
day,4,-683.395777
day,5,-2695.103616
day,6,-1440.359285
day,7,-2075.907858
day,8,-3649.095113
day,9,-2470.26384
day,10,-3599.76126
day,11,-931.566473
day,12,-675.719566
day,13,563.081763
day,14,-456.96304
week,0,0.0
week,1,14013.498252
week,2,6034.471758
week,3,2332.752904
week,4,3857.461325
week,5,4788.779175
week,6,4648.926595
week,7,4354.932061
week,8,17448.724816
week,9,18778.127071
week,10,18274.065936
week,11,18492.822462
month,0,0.0
month,1,-32780.37568
month,2,-47351.661515
month,3,-45415.471729
month,4,-51990.572355
month,5,-37968.249937
month,6,-20355.681504
month,7,-17160.29593
month,8,-20639.096902
month,9,-22816.107335
month,10,-23017.030248
month,11,-5614.831106
month,12,-8180.746198
allTime,0,0.0
allTime,1,-135850.204381
allTime,2,424194.632241
allTime,3,1324088.718602
allTime,4,773985.031998
allTime,5,893690.102332
allTime,6,953569.148594
allTime,7,899236.290872
allTime,8,876175.255955
allTime,9,905024.372337
allTime,10,919985.082112
