series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
day,12,0.0
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,0.0
week,5,0.0
week,6,0.0
week,7,0.0
week,8,0.0
week,9,0.0
week,10,0.0
week,11,0.0
month,0,0.0
month,1,0.0
month,2,-0.003371
month,3,-0.003371
month,4,-0.003371
month,5,-0.003371
month,6,-0.003371
month,7,-0.003371
month,8,-0.003371
month,9,-0.003371
month,10,-0.003371
month,11,-0.003371
allTime,0,0.0
allTime,1,-17470.876629
allTime,2,-17470.876629
allTime,3,-17470.876629
allTime,4,-17470.876629
allTime,5,-17470.876629
allTime,6,-17470.876629
allTime,7,-17470.876629
allTime,8,-17470.88
allTime,9,-17470.88
allTime,10,-17470.88
