series,idx,value
day,0,0.0
day,1,174.530636
day,2,254.636309
day,3,316.659265
day,4,743.242901
day,5,1112.647782
day,6,247.056454
day,7,577.970655
day,8,428.415593
day,9,427.094049
day,10,424.306468
day,11,423.068944
week,0,0.0
week,1,0.0
week,2,0.0
week,3,-2.504935
week,4,-9.873757
week,5,-5.729827
week,6,-13.422115
week,7,-24.722051
week,8,-34.97912
week,9,-181.94875
week,10,-500.885183
week,11,-502.122707
month,0,0.0
month,1,10846.324917
month,2,9069.69176
month,3,12859.315444
month,4,13296.42237
month,5,12778.931661
month,6,15341.566111
month,7,15341.566111
month,8,15330.29816
month,9,15332.059631
month,10,15315.303335
month,11,14839.443404
allTime,0,0.0
allTime,1,77328.352706
allTime,2,77328.276894
allTime,3,81637.779763
allTime,4,85284.434795
allTime,5,95960.942321
allTime,6,94333.99863
allTime,7,65931.359712
allTime,8,71523.336858
allTime,9,118404.551636
allTime,10,123677.122745
allTime,11,125697.915884
allTime,12,125220.143779
