series,idx,value
day,0,0.0
day,1,287.256423
day,2,1029.35524
day,3,1599.549293
day,4,2042.173923
day,5,1439.346789
day,6,235.915056
day,7,-87.563189
day,8,485.922317
day,9,1600.091299
day,10,2895.001997
day,11,2617.736141
week,0,0.0
week,1,-5971.398296
week,2,-4004.306745
week,3,-13107.557356
week,4,-8135.779121
week,5,-9369.067249
week,6,-3947.995231
week,7,-1233.688507
week,8,719.389172
week,9,-2880.615059
week,10,-2027.786985
week,11,-2305.052841
month,0,0.0
month,1,11254.578304
month,2,16254.345224
month,3,16522.465639
month,4,17113.849591
month,5,27336.471908
month,6,26889.250401
month,7,8206.581549
month,8,8879.285502
month,9,14743.728464
month,10,18340.752958
month,11,17239.91948
allTime,0,0.0
allTime,1,2566.495919
allTime,2,5316.812902
allTime,3,20467.134226
allTime,4,22032.458587
allTime,5,35164.444594
allTime,6,-10148.81379
allTime,7,11780.148096
allTime,8,6373.651849
allTime,9,12538.61756
allTime,10,16740.436611
allTime,11,5148.498356
allTime,12,7091.10569
