series,idx,value
day,0,0.0
day,1,-7.268529
day,2,-20.112883
day,3,-4.211418
day,4,-3.994349
day,5,-56.258823
day,6,-1.780992
day,7,21.918884
day,8,34.931907
day,9,35.305457
day,10,32.103088
day,11,51.900263
day,12,51.969483
week,0,0.0
week,1,-99.144806
week,2,59.442351
week,3,44.230342
week,4,109.598867
week,5,202.217158
week,6,199.326915
week,7,132.322456
week,8,100.472156
week,9,98.691164
week,10,152.441639
month,0,0.0
month,1,-74.580338
month,2,1326.184301
month,3,1645.191311
month,4,2249.193568
month,5,2247.382419
month,6,2316.060892
month,7,2385.559176
month,8,2496.07607
month,9,2532.647828
month,10,2455.007368
month,11,2514.24538
allTime,0,0.0
allTime,1,90.972905
allTime,2,-417.251439
allTime,3,512.110179
allTime,4,-764.934204
allTime,5,-1085.718121
allTime,6,-1973.274881
allTime,7,-1882.314998
allTime,8,-464.788529
allTime,9,378.614635
allTime,10,532.403516
