series,idx,value
day,0,0.0
day,1,-1.103609
day,2,-1.041947
day,3,-2.484705
day,4,-1.548397
day,5,-0.021302
day,6,-3.087194
day,7,-2.045535
day,8,-3.865796
day,9,-1.774128
day,10,-0.178679
day,11,5.011924
day,12,5.19009
week,0,0.0
week,1,-18.813733
week,2,-9.790887
week,3,-21.30141
week,4,-17.331505
week,5,-28.14499
week,6,-26.327256
week,7,-27.829809
week,8,-32.065002
week,9,-38.741882
week,10,-37.372164
week,11,-32.003395
month,0,0.0
month,1,39.010637
month,2,72.859962
month,3,78.504366
month,4,77.124137
month,5,46.812513
month,6,57.601007
month,7,14.601487
month,8,10.350172
month,9,3.171696
month,10,-4.056235
month,11,-5.749504
allTime,0,0.0
allTime,1,9.145121
allTime,2,409.954823
allTime,3,281.896418
allTime,4,330.333064
allTime,5,532.165729
allTime,6,601.268152
allTime,7,475.603533
allTime,8,628.447268
allTime,9,618.717289
allTime,10,560.993901
