series,idx,value
day,0,0.0
day,1,31.093025
day,2,13.816392
day,3,-25.789633
day,4,-6.370002
day,5,-10.72187
day,6,14.606343
day,7,33.972188
day,8,8.164917
day,9,-15.155554
day,10,-1.995616
day,11,36.080129
day,12,22.608935
week,0,0.0
week,1,10.352023
week,2,-58.816178
week,3,55.825994
week,4,-9.376203
week,5,494.124306
week,6,447.403587
week,7,58.282135
week,8,141.167091
week,9,1.649494
week,10,12.283573
week,11,50.048062
month,0,0.0
month,1,-104.355791
month,2,-299.547094
month,3,-745.629081
month,4,-606.131246
month,5,0.452625
month,6,-117.983051
month,7,-150.040856
month,8,-77.136445
month,9,283.046939
month,10,-1.081703
month,11,-4.047637
allTime,0,0.0
allTime,1,0.410178
allTime,2,-722.764431
allTime,3,-287.20219
allTime,4,-833.382883
allTime,5,-1133.569673
allTime,6,511.392918
allTime,7,1207.474747
allTime,8,2057.359003
allTime,9,2217.750931
allTime,10,4241.936243
allTime,11,4541.935962
allTime,12,4537.4357
