series,idx,value
day,0,0.0
day,1,71.654775
day,2,532.14495
day,3,367.475437
day,4,-353.593348
day,5,689.412179
day,6,70.289768
day,7,46.058664
day,8,-191.604064
day,9,-48.199226
day,10,-349.709361
day,11,-374.829299
day,12,-237.183528
week,0,0.0
week,1,1492.474993
week,2,763.34838
week,3,734.613051
week,4,127.572009
week,5,172.47823
week,6,-126.636146
week,7,448.496384
week,8,1051.428353
week,9,1121.718121
week,10,814.244825
month,0,0.0
month,1,114.656094
month,2,43.568635
month,3,-751.005707
month,4,-311.41665
month,5,-293.95299
month,6,513.667001
month,7,-244.474623
month,8,-323.570162
month,9,674.084676
month,10,365.246373
allTime,0,0.0
allTime,1,114.656094
allTime,2,43.568635
allTime,3,-751.005707
allTime,4,-311.41665
allTime,5,-448.998452
allTime,6,756.331735
allTime,7,-341.841976
allTime,8,-276.520222
allTime,9,-331.209308
allTime,10,1134.574851
allTime,11,365.246373
