series,idx,value
day,0,0.0
day,1,-276.712141
day,2,-282.707846
day,3,-262.960118
day,4,-298.130533
day,5,-101.194844
day,6,41.158371
day,7,-50.744592
day,8,-215.719145
day,9,-541.126564
day,10,-477.560369
day,11,-557.322087
day,12,-510.169671
week,0,0.0
week,1,946.802674
week,2,284.419665
week,3,745.921593
week,4,-2621.041253
week,5,-3756.42823
week,6,-5854.407629
week,7,-5486.820712
week,8,-3053.416165
week,9,-3012.257794
week,10,-3563.585836
month,0,0.0
month,1,-410.980292
month,2,10231.521625
month,3,4978.256225
month,4,11336.589026
month,5,11762.638265
month,6,16305.03952
month,7,17761.388382
month,8,13306.069479
month,9,12861.180865
month,10,13426.948494
month,11,13258.639913
allTime,0,0.0
allTime,1,15959.906793
allTime,2,11445.8344
allTime,3,47287.059923
allTime,4,71118.080859
allTime,5,113670.137267
allTime,6,177318.786111
allTime,7,187970.236926
allTime,8,116898.013317
allTime,9,127611.078924
allTime,10,143960.244266
allTime,11,141903.916084
