series,idx,value
day,0,0.0
day,1,-33.15066
day,2,-69.351054
day,3,-366.494245
day,4,-194.634816
day,5,-89.751164
day,6,-315.180009
day,7,-303.181044
day,8,-451.15179
day,9,-615.853284
day,10,-647.246865
day,11,-735.309031
week,0,0.0
week,1,-23.129584
week,2,194.248493
week,3,1126.753727
week,4,1330.102227
week,5,2781.581283
week,6,2625.387084
week,7,2371.822234
week,8,1187.392073
week,9,1007.809249
week,10,362.251382
month,0,0.0
month,1,0.0
month,2,0.0
month,3,541.289616
month,4,541.289616
month,5,2658.668128
month,6,2428.222599
month,7,3901.800615
month,8,4694.631302
month,9,6050.347066
month,10,4333.822983
month,11,3804.380945
allTime,0,0.0
allTime,1,-1224.505163
allTime,2,-1224.505163
allTime,3,-1224.505163
allTime,4,-683.215547
allTime,5,-683.215547
allTime,6,1434.162965
allTime,7,2217.6244
allTime,8,3366.464976
allTime,9,4826.95688
allTime,10,3282.034153
allTime,11,2579.875782
