series,idx,value
day,0,0.0
day,1,30548.188156
day,2,30026.490881
day,3,29431.919555
day,4,29575.452905
day,5,22063.566484
day,6,14240.382589
day,7,4170.393531
day,8,11883.181102
day,9,19270.376328
day,10,24590.099612
day,11,21405.618094
day,12,23821.204264
day,13,5082.545752
day,14,-19666.743194
day,15,-12388.586153
week,0,0.0
week,1,22317.996117
week,2,46478.297249
week,3,112806.254282
week,4,90819.458233
week,5,46433.896306
week,6,98990.972079
week,7,85639.266169
week,8,15805.400845
week,9,-1006.317569
week,10,35710.348043
week,11,42875.583548
week,12,9081.379301
month,0,0.0
month,1,-111946.786997
month,2,-196891.666364
month,3,-226849.335423
month,4,-236637.19798
month,5,-367442.428705
month,6,-376891.385572
month,7,-189628.258167
month,8,-89647.403531
month,9,-110599.70273
month,10,-208692.723425
month,11,-207358.475898
month,12,-223917.455582
allTime,0,0.0
allTime,1,186381.509987
allTime,2,492040.681503
allTime,3,251628.877286
allTime,4,-406714.115121
allTime,5,-353092.931018
allTime,6,-20757.893957
allTime,7,-31251.200126
allTime,8,-330875.585074
allTime,9,586020.121637
allTime,10,321075.523062
allTime,11,474049.453052
