series,idx,value
day,0,0.0
day,1,-90.912626
day,2,-154.96558
day,3,-347.204552
day,4,-358.203195
day,5,-381.954201
day,6,-356.188652
day,7,-313.092491
day,8,-306.926678
day,9,-44.613614
day,10,-69.274684
day,11,154.182157
day,12,-25.569177
week,0,0.0
week,1,1083.700727
week,2,565.691975
week,3,496.270975
week,4,436.490102
week,5,895.04047
week,6,278.897238
week,7,117.546247
week,8,323.868757
week,9,101.688892
week,10,389.212206
month,0,0.0
month,1,-2375.027131
month,2,-3467.066523
month,3,-2286.404572
month,4,-1550.246249
month,5,-1659.81896
month,6,-1252.748793
month,7,-687.056818
month,8,-816.258691
month,9,-973.851555
month,10,-928.880036
month,11,-863.536587
allTime,0,0.0
allTime,1,1344.071997
allTime,2,-687.889431
allTime,3,-1680.345835
allTime,4,-360.876423
allTime,5,-582.859449
allTime,6,376.561256
allTime,7,1259.550941
allTime,8,908.292929
allTime,9,1012.093668
allTime,10,467.537244
allTime,11,789.172619
