series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
day,12,0.0
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,0.0
week,5,0.0
week,6,0.0
week,7,0.0
week,8,0.0
week,9,0.0
week,10,0.0
week,11,0.0
month,0,0.0
month,1,57.49
month,2,57.49
month,3,57.49
month,4,57.49
month,5,57.49
month,6,57.49
month,7,57.49
month,8,57.49
month,9,57.49
month,10,57.49
month,11,57.49
allTime,0,0.0
allTime,1,2359.556904
allTime,2,-57713.288653
allTime,3,41921.501388
allTime,4,511791.0
allTime,5,2110645.72
allTime,6,11731917.147114
allTime,7,12047377.390001
allTime,8,12047653.712179
allTime,9,30593059.34
allTime,10,30593059.34
allTime,11,30593059.34
