series,idx,value
day,0,0.0
day,1,-56.343847
day,2,139.436092
day,3,91.798424
day,4,-130.377887
day,5,23.264725
day,6,-73.41509
day,7,-0.015066
day,8,-26.896635
day,9,131.703148
day,10,102.083966
day,11,228.587572
day,12,143.116154
week,0,0.0
week,1,87.560151
week,2,-176.067688
week,3,-302.845474
week,4,-126.706118
week,5,-110.191697
week,6,-163.15816
week,7,-98.229989
week,8,1226.003194
week,9,1152.588104
week,10,1369.119348
month,0,0.0
month,1,0.0
month,2,0.0
month,3,-6.597381
month,4,12.313736
month,5,502.308743
month,6,501.13376
month,7,135.01298
month,8,202.917112
month,9,288.94538
month,10,1601.869863
month,11,1801.329864
allTime,0,0.0
allTime,1,54.616115
allTime,2,644.906509
allTime,3,6988.267093
allTime,4,7007.48392
allTime,5,6583.471762
allTime,6,5900.534883
allTime,7,5292.530118
allTime,8,5292.530118
allTime,9,5218.544328
allTime,10,5561.582474
allTime,11,7093.859982
