series,idx,value
day,0,0.0
day,1,5.54119
day,2,-4.4579
day,3,-137.510755
day,4,265.0845
day,5,215.829781
day,6,613.337225
day,7,1004.73861
day,8,1063.562314
day,9,543.51266
day,10,385.366741
day,11,384.121617
week,0,0.0
week,1,-142.531228
week,2,417.284687
week,3,1994.705774
week,4,516.834656
week,5,1244.372086
week,6,1383.847935
week,7,1242.023437
week,8,256.601182
week,9,490.784878
week,10,611.067119
week,11,609.821995
month,0,0.0
month,1,5943.479957
month,2,2434.427193
month,3,2948.373592
month,4,3416.441763
month,5,1709.406278
month,6,-744.610324
month,7,457.967334
month,8,2080.950194
month,9,1821.410204
month,10,1162.618689
month,11,943.81956
allTime,0,0.0
allTime,1,585.988069
allTime,2,3427.681967
allTime,3,1170.59037
allTime,4,500.841892
allTime,5,4673.419275
allTime,6,10767.370193
allTime,7,23082.963798
allTime,8,69691.453
allTime,9,42261.787948
allTime,10,44340.008009
allTime,11,45795.564429
allTime,12,44912.567985
