series,idx,value
day,0,0.0
day,1,0.769925
day,2,-0.256047
day,3,2.57296
day,4,5.389703
day,5,-0.113343
day,6,2.385046
day,7,12.623822
day,8,8.933927
day,9,13.646522
day,10,16.690292
day,11,17.137748
day,12,17.019205
week,0,0.0
week,1,53.127396
week,2,44.076352
week,3,50.015328
week,4,41.425406
week,5,4.643539
week,6,28.093855
week,7,31.359868
week,8,62.133149
week,9,64.018327
week,10,75.318916
week,11,75.647829
month,0,0.0
month,1,-64.382279
month,2,-92.748096
month,3,-118.012171
month,4,-89.31939
month,5,-168.066858
month,6,-48.492871
month,7,-84.114051
month,8,-75.192698
month,9,-86.03131
month,10,-51.76928
month,11,-41.735325
allTime,0,0.0
allTime,1,5.856497
allTime,2,48.968401
allTime,3,206.241499
allTime,4,283.808739
allTime,5,312.87005
allTime,6,387.099059
allTime,7,356.343696
allTime,8,407.384539
allTime,9,370.276098
allTime,10,339.932852
allTime,11,391.448283
