series,idx,value
day,0,0.0
day,1,384.144803
day,2,308.6391
day,3,380.810657
day,4,268.63237
day,5,-4.782081
day,6,-34.207561
day,7,-183.132835
day,8,-11.343691
day,9,132.227485
day,10,104.620781
day,11,194.386299
day,12,271.386785
week,0,0.0
week,1,-1552.506533
week,2,-2369.950215
week,3,-2321.979691
week,4,-2495.589488
week,5,-2891.471477
week,6,-1913.238899
week,7,-9.222391
week,8,1639.645639
week,9,1605.438078
week,10,1911.032424
month,0,0.0
month,1,-3946.232505
month,2,-5928.953081
month,3,-5201.379335
month,4,-6583.720901
month,5,-5949.190282
month,6,-3935.573149
month,7,-6416.924598
month,8,-5462.001735
month,9,-6659.313274
month,10,-2109.686736
month,11,-2146.939051
allTime,0,0.0
allTime,1,2688.974866
allTime,2,5624.170638
allTime,3,14544.240592
allTime,4,14847.545401
allTime,5,23387.912241
allTime,6,27014.69025
allTime,7,28469.208639
allTime,8,44021.366348
allTime,9,57660.485519
allTime,10,66367.810844
allTime,11,56023.26401
