series,idx,value
day,0,0.0
day,1,-1056.941249
day,2,-1958.074921
day,3,-3400.396221
day,4,-1903.872197
day,5,-4067.134302
day,6,-5115.041624
day,7,-6661.95534
day,8,-7357.188959
day,9,-9392.375054
day,10,-11232.227732
day,11,-11881.38394
day,12,-17527.916922
week,0,0.0
week,1,-24364.339681
week,2,19492.76129
week,3,-26775.864197
week,4,-30496.454299
week,5,-1567.543649
week,6,-12567.896957
week,7,-7715.001466
week,8,-31126.96883
week,9,-39121.861254
week,10,-46936.110892
week,11,-52582.643874
month,0,0.0
month,1,83824.970114
month,2,66020.88691
month,3,64591.307091
month,4,30626.832761
month,5,22896.178371
month,6,-25626.013313
month,7,3887.616959
month,8,-19137.215839
month,9,9493.215219
month,10,-14168.079082
month,11,-28884.512591
month,12,-34531.045573
allTime,0,0.0
allTime,1,124829.847187
allTime,2,100327.965803
allTime,3,208812.834126
allTime,4,164794.302648
allTime,5,187020.908097
allTime,6,308999.193217
allTime,7,279486.219761
allTime,8,292207.794777
allTime,9,219711.429175
allTime,10,179770.72909
