series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,0.0
week,5,0.0
week,6,0.0
week,7,0.0
week,8,0.0
week,9,0.0
week,10,0.0
week,11,0.0
month,0,0.0
month,1,-18.923468
month,2,-18.923468
month,3,-18.923468
month,4,-18.923468
month,5,-18.923468
month,6,-18.923468
month,7,-18.923468
month,8,-18.923468
month,9,-18.923468
month,10,-18.923468
month,11,-18.923468
month,12,-18.923468
allTime,0,0.0
allTime,1,10.632398
allTime,2,-24.420127
allTime,3,-42.747781
allTime,4,-52.988564
allTime,5,-51.248901
allTime,6,-98.799816
allTime,7,-98.799816
allTime,8,-98.799816
allTime,9,-98.799816
allTime,10,-98.799816
