series,idx,value
day,0,0.0
day,1,-516.519871
day,2,-1386.177704
day,3,-1635.647864
day,4,-1595.150154
day,5,-1230.570689
day,6,-1054.296901
day,7,-226.005136
day,8,-543.27969
day,9,-791.511601
day,10,-921.498357
day,11,-403.785226
day,12,-267.831186
week,0,0.0
week,1,-841.016685
week,2,-1077.512264
week,3,-407.671529
week,4,121.327534
week,5,1185.988431
week,6,1337.505828
week,7,1745.697996
week,8,283.905957
week,9,-1904.926397
week,10,-1060.790134
week,11,-537.109719
month,0,0.0
month,1,-527.335363
month,2,-1932.505562
month,3,-5193.088634
month,4,-5407.048961
month,5,-7961.514408
month,6,-7802.499879
month,7,-8320.080337
month,8,-7474.941167
month,9,-6390.76907
month,10,-7211.862955
month,11,-8048.98522
allTime,0,0.0
allTime,1,14.669991
allTime,2,-269.414571
allTime,3,761.341346
allTime,4,9205.5493
allTime,5,-1925.906822
allTime,6,-12082.541641
allTime,7,11442.712059
allTime,8,8599.961522
allTime,9,3406.872888
allTime,10,-19.511607
allTime,11,550.976302
