series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.519288
day,4,3.461817
day,5,6.093112
day,6,6.093112
day,7,6.093112
day,8,7.481169
day,9,2.809624
day,10,3.985979
day,11,3.481562
day,12,4.35793
week,0,0.0
week,1,6.112677
week,2,25.38866
week,3,34.004511
week,4,65.375088
week,5,75.094462
week,6,77.847709
week,7,68.737363
week,8,84.31992
week,9,149.51057
week,10,150.034732
week,11,150.406683
month,0,0.0
month,1,196.98044
month,2,320.906406
month,3,414.848172
month,4,447.187221
month,5,271.248911
month,6,369.570517
month,7,375.383194
month,8,425.848
month,9,440.475697
month,10,319.614838
month,11,519.6772
allTime,0,0.0
allTime,1,388.944198
allTime,2,182.456875
allTime,3,2590.351027
allTime,4,1959.881764
allTime,5,1006.027283
allTime,6,865.01731
allTime,7,1644.198299
allTime,8,1806.032629
allTime,9,1730.285521
allTime,10,1874.579527
