series,idx,value
day,0,0.0
day,1,2.208856
day,2,-30.274313
day,3,-15.672355
day,4,-36.207848
day,5,-53.158737
day,6,-31.86738
day,7,-26.109246
day,8,-22.92169
day,9,-15.134238
day,10,-9.777693
day,11,2.763624
day,12,4.435187
week,0,0.0
week,1,-83.304869
week,2,-58.065528
week,3,-60.38314
week,4,-49.429856
week,5,-32.877735
week,6,-18.726715
week,7,-24.094481
week,8,-68.423117
week,9,-120.691009
week,10,-64.768648
week,11,-63.097085
month,0,0.0
month,1,35.470501
month,2,42.893014
month,3,44.295779
month,4,84.460994
month,5,44.693621
month,6,-32.725102
month,7,-97.618523
month,8,-73.044676
month,9,-51.536383
month,10,-87.951402
month,11,-85.725071
allTime,0,0.0
allTime,1,-101.561241
allTime,2,-294.651886
allTime,3,-291.411814
allTime,4,43.355526
allTime,5,1547.816614
allTime,6,1398.610146
allTime,7,1403.24988
allTime,8,1687.591512
allTime,9,1644.075559
allTime,10,1493.947167
allTime,11,1514.054709
