series,idx,value
day,0,0.0
day,1,65.801055
day,2,46.027474
day,3,32.671375
day,4,18.193319
day,5,-14.386757
day,6,-12.544192
day,7,18.144381
day,8,23.172766
day,9,16.063012
day,10,11.792964
day,11,-100.797715
day,12,-92.65932
week,0,0.0
week,1,26.212692
week,2,-40.101429
week,3,463.493496
week,4,334.495669
week,5,709.684507
week,6,790.529287
week,7,620.113877
week,8,245.005
week,9,220.554682
week,10,214.154327
week,11,109.702043
month,0,0.0
month,1,-596.650786
month,2,-1455.410229
month,3,-1287.904933
month,4,-1373.278745
month,5,-1787.511965
month,6,-1736.914212
month,7,-1276.858779
month,8,-870.468131
month,9,-264.201657
month,10,-656.017213
month,11,-1007.991572
month,12,-1112.443856
allTime,0,0.0
allTime,1,-2975.854322
allTime,2,4780.060905
allTime,3,6290.527875
allTime,4,26660.806728
allTime,5,20846.927449
allTime,6,20017.052717
allTime,7,18817.038018
allTime,8,14820.668112
allTime,9,13365.257883
allTime,10,13033.156147
allTime,11,14389.0515
allTime,12,13708.224256
