series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
day,12,0.0
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,0.0
week,5,0.0
week,6,0.0
week,7,0.0
week,8,0.0
week,9,0.0
week,10,0.0
week,11,0.0
month,0,0.0
month,1,-25.980667
month,2,-25.980667
month,3,-25.980667
month,4,-25.980667
month,5,-25.980667
month,6,-25.980667
month,7,-25.980667
month,8,-25.980667
month,9,-25.980667
month,10,-25.980667
month,11,-25.980667
month,12,-25.980667
allTime,0,0.0
allTime,1,-2172.102509
allTime,2,-23696.767841
allTime,3,-30868.740878
allTime,4,-31140.517046
allTime,5,-31157.9703
allTime,6,-31231.812148
allTime,7,-31231.812148
allTime,8,-31231.812148
allTime,9,-31231.812148
allTime,10,-31231.812148
