series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,-0.051867
day,5,0.333584
day,6,0.294
day,7,0.294
day,8,0.294
day,9,0.294
day,10,0.294
day,11,0.294
day,12,0.294
week,0,0.0
week,1,-0.048552
week,2,-3.00929
week,3,-5.035315
week,4,-4.840351
week,5,-4.779338
week,6,-4.624864
week,7,-4.967102
week,8,-5.861499
week,9,-5.692484
week,10,-5.732068
week,11,-5.732068
month,0,0.0
month,1,-174.124646
month,2,-252.288252
month,3,-331.282496
month,4,-376.714977
month,5,-379.247108
month,6,-381.826997
month,7,-384.357906
month,8,-383.871972
month,9,-384.478467
month,10,-384.979176
allTime,0,0.0
allTime,1,-6221.181672
allTime,2,-6981.281507
allTime,3,-14895.215664
allTime,4,-31145.993043
allTime,5,-31320.117689
allTime,6,-31419.583951
allTime,7,-31503.245727
allTime,8,-31525.821412
allTime,9,-31530.338531
allTime,10,-31530.972219
