series,idx,value
day,0,0.0
day,1,207.252949
day,2,191.760212
day,3,123.346363
day,4,360.688718
day,5,289.152536
day,6,11.235185
day,7,-104.286129
day,8,-45.877783
day,9,18.693549
day,10,-22.299123
day,11,-43.488147
day,12,-6.456921
week,0,0.0
week,1,1339.510964
week,2,795.025907
week,3,656.951091
week,4,64.116087
week,5,-134.50023
week,6,-163.74228
week,7,-82.079148
week,8,417.117854
week,9,803.298997
week,10,470.658314
week,11,507.68954
month,0,0.0
month,1,-1131.241192
month,2,-550.737032
month,3,-728.43652
month,4,-1693.627814
month,5,-976.143657
month,6,-510.916429
month,7,11.969631
month,8,-750.276939
month,9,-936.611857
month,10,-258.530414
month,11,-264.987335
allTime,0,0.0
allTime,1,-340.488034
allTime,2,19.954942
allTime,3,2323.569931
allTime,4,2215.217735
allTime,5,2409.625004
allTime,6,2881.728731
allTime,7,2946.945313
allTime,8,2911.581489
allTime,9,3086.206056
allTime,10,2356.792095
allTime,11,4423.731847
allTime,12,3641.515373
