series,idx,value
day,0,0.0
day,1,-2.804804
day,2,16.377813
day,3,-25.513225
day,4,-38.951306
day,5,-132.73871
day,6,-72.857818
day,7,-40.515282
day,8,-126.235858
day,9,-163.883541
day,10,-171.684718
day,11,-224.930104
day,12,-226.661921
week,0,0.0
week,1,179.9484
week,2,-56.848924
week,3,389.789135
week,4,508.358411
week,5,834.384738
week,6,713.859529
week,7,646.818182
week,8,200.95442
week,9,169.81281
week,10,31.442494
week,11,-31.335886
month,0,0.0
month,1,-669.098589
month,2,-1341.162699
month,3,-696.892624
month,4,-889.694573
month,5,-1443.037289
month,6,-1266.313052
month,7,-1048.442933
month,8,-619.788288
month,9,70.894387
month,10,-322.543743
month,11,-945.831369
month,12,-1000.808572
allTime,0,0.0
allTime,1,1455.481032
allTime,2,4355.823272
allTime,3,7995.234389
allTime,4,7579.824556
allTime,5,-4657.839429
allTime,6,8040.589765
allTime,7,9749.163043
allTime,8,23664.824333
allTime,9,17101.179288
allTime,10,14639.692477
allTime,11,10579.289432
