series,idx,value
day,0,0.0
day,1,-6652.027986
day,2,-14851.914012
day,3,-6297.090233
day,4,8047.841469
day,5,8704.851152
day,6,2687.837164
day,7,-11302.942895
day,8,-27428.989885
day,9,-24777.156018
day,10,-26758.997205
day,11,-37087.472161
week,0,0.0
week,1,18053.900503
week,2,27801.910508
week,3,27290.405276
week,4,7480.787619
week,5,48675.391604
week,6,43626.421142
week,7,26224.917134
week,8,23566.191143
week,9,15824.231789
week,10,-2655.833996
week,11,-14966.150139
month,0,0.0
month,1,190577.687986
month,2,305728.75324
month,3,332984.792187
month,4,338799.209188
month,5,331225.831506
month,6,362737.211402
month,7,379547.645972
month,8,380456.373065
month,9,394526.278947
month,10,337674.058145
month,11,339528.837718
allTime,0,0.0
allTime,1,74529.854676
allTime,2,-55093.352982
allTime,3,634047.543455
allTime,4,1148865.756073
allTime,5,1167704.555036
allTime,6,1633766.130635
allTime,7,1625474.674847
allTime,8,-169179.992485
allTime,9,32733.94258
allTime,10,915828.545856
allTime,11,1064779.695588
