series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
day,12,0.0
week,0,0.0
week,1,0.0
week,2,0.0
week,3,-450.428337
week,4,-450.428337
week,5,-450.428337
week,6,-450.428337
week,7,172.729108
week,8,-569.328407
week,9,-569.328407
week,10,-569.328407
month,0,0.0
month,1,0.0
month,2,0.0
month,3,0.0
month,4,0.0
month,5,0.0
month,6,0.0
month,7,0.0
month,8,-450.428337
month,9,-450.428337
month,10,-569.328407
month,11,-569.328407
allTime,0,0.0
allTime,1,976.663495
allTime,2,2930.954142
allTime,3,2930.954142
allTime,4,2930.954142
allTime,5,2930.954142
allTime,6,2930.044142
allTime,7,2930.044142
allTime,8,6092.469056
allTime,9,5836.332805
allTime,10,5836.322807
allTime,11,5836.322807
allTime,12,5266.9944
