series,idx,value
day,0,0.0
day,1,-10.906248
day,2,3.260117
day,3,2.529764
day,4,0.306433
day,5,-8.344668
day,6,6.911393
day,7,21.274219
day,8,22.444772
day,9,23.737143
day,10,22.665613
day,11,25.810063
day,12,18.28085
week,0,0.0
week,1,-9.435531
week,2,61.407551
week,3,3.668804
week,4,14.273298
week,5,-196.525812
week,6,-125.557765
week,7,-71.285826
week,8,23.908888
week,9,1.216471
week,10,23.575651
week,11,19.190888
month,0,0.0
month,1,-494.073598
month,2,-402.911339
month,3,-578.690805
month,4,-478.300092
month,5,-500.390553
month,6,-230.402295
month,7,-331.969612
month,8,-351.797538
month,9,-470.70036
month,10,-313.642806
month,11,-316.901992
allTime,0,0.0
allTime,1,-468.011532
allTime,2,-851.202396
allTime,3,-683.815302
allTime,4,-149.160646
allTime,5,217.012589
allTime,6,196.33055
allTime,7,88.070187
allTime,8,-257.751146
allTime,9,-120.475344
allTime,10,1250.117005
allTime,11,817.812155
allTime,12,933.215013
