series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
day,12,0.0
week,0,0.0
week,1,0.0
week,2,7.420546
week,3,4.487373
week,4,4.197083
week,5,4.197083
week,6,4.197083
week,7,4.197083
week,8,4.197083
week,9,4.197083
week,10,4.197083
week,11,4.197083
month,0,0.0
month,1,0.0
month,2,93.197492
month,3,175.600826
month,4,187.543028
month,5,187.543028
month,6,187.543028
month,7,195.024772
month,8,191.740111
month,9,191.740111
month,10,191.740111
month,11,191.740111
allTime,0,0.0
allTime,1,-2006.328115
allTime,2,240.057017
allTime,3,182.574608
allTime,4,1493.280009
allTime,5,2302.372049
allTime,6,2814.874345
allTime,7,2938.188559
allTime,8,3002.417373
allTime,9,3009.899117
allTime,10,3006.614456
