series,idx,value
day,0,0.0
day,1,0.0
day,2,0.0
day,3,0.0
day,4,0.0
day,5,0.0
day,6,0.0
day,7,0.0
day,8,0.0
day,9,0.0
day,10,0.0
day,11,0.0
day,12,0.0
week,0,0.0
week,1,0.0
week,2,0.0
week,3,0.0
week,4,0.0
week,5,0.0
week,6,0.0
week,7,0.0
week,8,0.0
week,9,0.0
week,10,0.0
week,11,0.0
month,0,0.0
month,1,0.0
month,2,0.0
month,3,-34.97492
month,4,-55.435172
month,5,-58.817494
month,6,-60.209129
month,7,-60.209129
month,8,-60.209129
month,9,-60.209129
month,10,-60.209129
month,11,-60.209129
month,12,-60.209129
allTime,0,0.0
allTime,1,-187.342944
allTime,2,-586.090511
allTime,3,-3137.333029
allTime,4,-3137.333029
allTime,5,-3137.333029
allTime,6,-3137.333029
allTime,7,-3137.333029
allTime,8,-3137.333029
allTime,9,-3170.475149
allTime,10,-3197.542158
