series,idx,value
day,0,0.0
day,1,-6.983277
day,2,-19.411259
day,3,-25.268269
day,4,-22.042156
day,5,-1.678145
day,6,1.886637
day,7,14.446405
day,8,-1.428835
day,9,-17.308697
day,10,-10.211351
day,11,-14.744939
day,12,-21.569973
week,0,0.0
week,1,-37.493434
week,2,15.654857
week,3,11.030898
week,4,10.710886
week,5,24.076558
week,6,25.35157
week,7,0.042856
week,8,-110.532255
week,9,-132.471611
week,10,-120.640806
week,11,-131.999428
month,0,0.0
month,1,59.784221
month,2,50.426181
month,3,57.888813
month,4,156.358444
month,5,56.303758
month,6,70.369741
month,7,86.024598
month,8,81.080627
month,9,95.721311
month,10,-52.697623
month,11,-61.629687
allTime,0,0.0
allTime,1,397.639159
allTime,2,578.236433
allTime,3,1096.313222
allTime,4,798.669902
allTime,5,1344.391097
allTime,6,1501.515929
allTime,7,1508.12637
allTime,8,1604.773816
allTime,9,1462.320507
allTime,10,1512.619048
allTime,11,1387.773946
allTime,12,1367.882118
